visitId,visitNumber,time,hits,browser,deviceCategory,type,pagePath,pagePathLevel1,pagePathLevel2,pagePathLevel3,pagePathLevel4,eventCategory,eventAction,eventLabel,eventValue
1478812111,33,241700,42,Chrome,desktop,EVENT,/google+redesign/apparel/men++s/men++s+t+shirts,/google+redesign/,/apparel/,/men++s/,/men++s+t+shirts,Enhanced Ecommerce,Product Click,,
1478812111,33,246388,42,Chrome,desktop,PAGE,/google+redesign/apparel/men+s+t+shirts/google+mens+short+sleeve+hero+tee+red.axd,/google+redesign/,/apparel/,/men+s+t+shirts/,/google+mens+short+sleeve+hero+tee+red.axd,,,,
1478812111,33,254099,42,Chrome,desktop,EVENT,/google+redesign/apparel/men+s+t+shirts/google+mens+short+sleeve+hero+tee+red.axd,/google+redesign/,/apparel/,/men+s+t+shirts/,/google+mens+short+sleeve+hero+tee+red.axd,Enhanced Ecommerce,Add to Cart,,
1478812111,33,259885,42,Chrome,desktop,PAGE,/basket.html,/basket.html,"","","",,,,
1478812111,33,281757,42,Chrome,desktop,PAGE,/google+redesign/apparel/men++s/men++s+t+shirts,/google+redesign/,/apparel/,/men++s/,/men++s+t+shirts,,,,
1478812111,33,387716,42,Chrome,desktop,PAGE,/google+redesign/apparel/men+s+t+shirts/google+mens+vintage+badge+tee+green.axd,/google+redesign/,/apparel/,/men+s+t+shirts/,/google+mens+vintage+badge+tee+green.axd,,,,
1478812111,33,396955,42,Chrome,desktop,EVENT,/google+redesign/apparel/men+s+t+shirts/google+mens+vintage+badge+tee+green.axd,/google+redesign/,/apparel/,/men+s+t+shirts/,/google+mens+vintage+badge+tee+green.axd,Enhanced Ecommerce,Add to Cart,,
1478812111,33,402616,42,Chrome,desktop,PAGE,/basket.html,/basket.html,"","","",,,,
1478812111,33,426875,42,Chrome,desktop,PAGE,/google+redesign/apparel/men++s/men++s+t+shirts,/google+redesign/,/apparel/,/men++s/,/men++s+t+shirts,,,,
1478812111,33,489908,42,Chrome,desktop,PAGE,/google+redesign/apparel/men+s+t+shirts/google+mens+skater+tee+grey.axd,/google+redesign/,/apparel/,/men+s+t+shirts/,/google+mens+skater+tee+grey.axd,,,,
1478812111,33,498200,42,Chrome,desktop,EVENT,/google+redesign/apparel/men+s+t+shirts/google+mens+skater+tee+grey.axd,/google+redesign/,/apparel/,/men+s+t+shirts/,/google+mens+skater+tee+grey.axd,Enhanced Ecommerce,Add to Cart,,
1478812111,33,503859,42,Chrome,desktop,PAGE,/basket.html,/basket.html,"","","",,,,
1478812111,33,512983,42,Chrome,desktop,PAGE,/google+redesign/apparel/women+s,/google+redesign/,/apparel/,/women+s,"",,,,
1478812111,33,604054,42,Chrome,desktop,PAGE,/basket.html,/basket.html,"","","",,,,
1478812111,33,612381,42,Chrome,desktop,PAGE,/signin.html,/signin.html,"","","",,,,
1478812111,33,650598,42,Chrome,desktop,PAGE,/yourinfo.html,/yourinfo.html,"","","",,,,
1478812111,33,671151,42,Chrome,desktop,PAGE,/payment.html,/payment.html,"","","",,,,
1478812111,33,741687,42,Chrome,desktop,PAGE,/revieworder.html,/revieworder.html,"","","",,,,
1478812111,33,772090,42,Chrome,desktop,PAGE,/ordercompleted.html,/ordercompleted.html,"","","",,,,
1478812111,33,772178,42,Chrome,desktop,PAGE,/ordercompleted.html,/ordercompleted.html,"","","",,,,
1479309240,35,0,1,Chrome,desktop,PAGE,/signin.html,/signin.html,"","","",,,,
1479318712,36,0,1,Chrome,desktop,PAGE,/signin.html,/signin.html,"","","",,,,
1479660689,37,0,133,Chrome,desktop,PAGE,/signin.html,/signin.html,"","","",,,,
1479660689,37,6265,133,Chrome,desktop,PAGE,/myaccount.html?mode=vieworder,/myaccount.html?mode=vieworder,"","","",,,,
1479660689,37,31697,133,Chrome,desktop,PAGE,/google+redesign/electronics,/google+redesign/,/electronics,"","",,,,
1479660689,37,96424,133,Chrome,desktop,EVENT,/google+redesign/electronics,/google+redesign/,/electronics,"","",Enhanced Ecommerce,Quickview Click,Digital Lightshow Smart Speaker and Notification Center,
1479660689,37,96426,133,Chrome,desktop,PAGE,/google+redesign/electronics/quickview,/google+redesign/,/electronics/,/quickview,"",,,,
1479660689,37,104040,133,Chrome,desktop,EVENT,/google+redesign/electronics,/google+redesign/,/electronics,"","",Enhanced Ecommerce,Product Click,,
1479660689,37,110482,133,Chrome,desktop,PAGE,/google+redesign/electronics/audio/digital+lightshow+smart+speaker+and+notification+center.axd,/google+redesign/,/electronics/,/audio/,/digital+lightshow+smart+speaker+and+notification+center.axd,,,,
1479660689,37,143852,133,Chrome,desktop,PAGE,/google+redesign/bags,/google+redesign/,/bags,"","",,,,
1479660689,37,172342,133,Chrome,desktop,PAGE,/google+redesign/accessories,/google+redesign/,/accessories,"","",,,,
1479660689,37,208304,133,Chrome,desktop,PAGE,/google+redesign/accessories/pet,/google+redesign/,/accessories/,/pet,"",,,,
1479660689,37,229731,133,Chrome,desktop,EVENT,/google+redesign/accessories/pet,/google+redesign/,/accessories/,/pet,"",Enhanced Ecommerce,Quickview Click,Google Collapsible Pet Bowl,
1479660689,37,229735,133,Chrome,desktop,PAGE,/google+redesign/accessories/pet/quickview,/google+redesign/,/accessories/,/pet/,/quickview,,,,
1479660689,37,244251,133,Chrome,desktop,PAGE,/google+redesign/office,/google+redesign/,/office,"","",,,,
1479660689,37,305640,133,Chrome,desktop,PAGE,/google+redesign/drinkware,/google+redesign/,/drinkware,"","",,,,
1479660689,37,343046,133,Chrome,desktop,PAGE,/google+redesign/electronics,/google+redesign/,/electronics,"","",,,,
